checklist_id,project_id,number,name,status_id,status,type_id,type_name,asset_name,asset_type,assigned_name,assigned_type,discipline_id,discipline,note,tools,date_created,asset_key,assigned_key,template_id,template_version,has_structurally_changed,time_to_close_seconds,extended_status,script_in_development_date,assigned_date,in_progress_date,installation_ready_(pre-energization)_date,de-energized_inspection_complete_(cxa)_date,contractor_complete_date,verified_date,removed_from_scope_date
23595972,50506,258,1026.E HS1CRAH-1 - CVF - Component Verification,201423,Not Started,257344,Component Verification,1026.E HS1CRAH-1,equipment,"Bel-Aire Mechanical, Inc",company,591056,Mechanical,,,05/23/2025,11658705,85976,1823878,38,0,n/a,"{'not_started_date': '2026-03-13 23:57:08', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23824304,50506,7116,1026.E HS1CRAH-1 - CVF - Component Verification/Site Acceptance,201423,Not Started,,,1026.E HS1CRAH-1,equipment,"Bel-Aire Mechanical, Inc",company,591056,Mechanical,,,03/23/2026,11658705,85976,1824003,52,0,n/a,"{'not_started_date': '2026-03-23 15:20:17', 'not_started_person': 'Jim Bailey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598432,50506,2552,1026.E HS1CRAH-1 - IVM1201 - STU and CRAH - CC,201423,Not Started,257345,L2 - Installation Verification,1026.E HS1CRAH-1,equipment,Prime Controls,company,591056,Mechanical,,,02/09/2026,11658705,63596,1823972,15,0,n/a,"{'not_started_date': '2026-03-14 00:28:18', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598433,50506,2553,1026.E HS1CRAH-1 - IVM1201 - STU and CRAH - EC,201423,Not Started,257345,L2 - Installation Verification,1026.E HS1CRAH-1,equipment,Sturgeon Electric,company,591056,Mechanical,,,02/09/2026,11658705,85975,1823973,24,0,n/a,"{'not_started_date': '2026-03-14 00:28:19', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598434,50506,2554,1026.E HS1CRAH-1 - IVM1201 - STU and CRAH - EV,201423,Not Started,257345,L2 - Installation Verification,1026.E HS1CRAH-1,equipment,United Metal Products,company,591056,Mechanical,,,02/09/2026,11658705,85982,1823974,10,0,n/a,"{'not_started_date': '2026-03-14 00:28:19', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598435,50506,2555,1026.E HS1CRAH-1 - IVM1201 - STU and CRAH - MC,201423,Not Started,257345,L2 - Installation Verification,1026.E HS1CRAH-1,equipment,"Bel-Aire Mechanical, Inc",company,591056,Mechanical,,,02/09/2026,11658705,85976,1823975,89,0,n/a,"{'not_started_date': '2026-03-14 00:28:19', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598436,50506,2556,1026.E HS1CRAH-1 - PFM1201 - STU and CRAH - CC,201423,Not Started,257343,L3 - Prefunctional ,1026.E HS1CRAH-1,equipment,Prime Controls,company,591056,Mechanical,,,02/09/2026,11658705,63596,1823976,23,0,n/a,"{'not_started_date': '2026-03-14 00:28:19', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598438,50506,2558,1026.E HS1CRAH-1 - PFM1201 - STU and CRAH - EC,201423,Not Started,257343,L3 - Prefunctional ,1026.E HS1CRAH-1,equipment,Sturgeon Electric,company,591056,Mechanical,,,02/09/2026,11658705,85975,1823978,25,0,n/a,"{'not_started_date': '2026-03-14 00:28:20', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598437,50506,2557,1026.E HS1CRAH-1 - PFM1201 - STU and CRAH - EV,201423,Not Started,257343,L3 - Prefunctional ,1026.E HS1CRAH-1,equipment,United Metal Products,company,591056,Mechanical,,,02/09/2026,11658705,85982,1823977,17,0,n/a,"{'not_started_date': '2026-03-14 00:28:20', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
23598439,50506,2559,1026.E HS1CRAH-1 - PFM1201 - STU and CRAH - MC,201423,Not Started,257343,L3 - Prefunctional ,1026.E HS1CRAH-1,equipment,"Bel-Aire Mechanical, Inc",company,591056,Mechanical,,,02/09/2026,11658705,85976,1823979,24,0,n/a,"{'not_started_date': '2026-03-14 00:28:20', 'not_started_person': 'Curtis Luckey', 'in_progress_date': '', 'in_progress_person': '', 'gc_to_verify_date': '', 'gc_to_verify_person': '', 'finished_date': '', 'finished_person': ''}",,,,,,,,
